division_id,school_code,medium_name,class_name,division_name,created_on
1,demo1,English,5,A,2020-08-22 13:16:43.219990+00:00
2,demo1,English,5,B,2020-08-22 13:16:55.790315+00:00
3,demo1,English,6,A,2020-08-22 13:17:06.994748+00:00
4,demo1,English,6,B,2020-08-22 13:17:17.635614+00:00
5,demo1,English,7,A,2020-08-22 13:17:28.344067+00:00
6,demo1,English,7,B,2020-08-22 13:17:43.051125+00:00
7,demo1,English,8,A,2020-08-22 13:18:02.886732+00:00
8,demo1,English,8,B,2020-08-22 13:18:42.933561+00:00
9,demo1,English,9,A,2020-08-22 13:18:55.684821+00:00
10,demo1,English,9,B,2020-08-22 13:19:07.868905+00:00
11,demo1,English,10,A,2020-08-22 13:19:35.539139+00:00
12,demo1,English,10,B,2020-08-22 13:19:47.217233+00:00
13,demo1,English,11,A,2020-08-22 13:19:59.507780+00:00
14,demo1,English,11,B,2020-08-22 13:20:10.577978+00:00
15,demo1,English,12,A,2020-08-22 13:20:35.477654+00:00
16,demo1,English,12,B,2020-08-22 13:21:08.186710+00:00
34,demo1,English,12,D,2020-09-22 08:10:55.284069+00:00
35,st001,English,Nursery,A,2020-10-05 11:28:34.037223+00:00
36,st001,English,Nursery,B,2020-10-05 11:28:45.243927+00:00
37,st001,English,L.K.G,A,2020-10-05 11:28:57.297991+00:00
38,st001,English,L.K.G,B,2020-10-05 11:29:08.243531+00:00
39,st001,English,U.K.G,A,2020-10-05 11:29:19.259844+00:00
40,st001,English,1,A,2020-10-05 11:29:30.046863+00:00
41,st001,English,1,B,2020-10-05 11:29:44.310172+00:00
42,st001,English,2,A,2020-10-05 11:29:56.458851+00:00
43,st001,English,2,B,2020-10-05 11:30:08.945747+00:00
44,10150605203,Hindi,L.K.G,A,2020-11-22 10:29:45.296175+00:00
45,s003,Hindi,Nursery,A,2021-02-01 09:47:24.464671+00:00
46,s003,English,Nursery,B,2021-02-01 09:47:36.216155+00:00
47,s003,English,L.K.G,A,2021-02-01 09:47:46.479753+00:00
48,s003,English,L.K.G,B,2021-02-01 09:48:05.864394+00:00
49,s003,English,U.K.G,A,2021-02-01 09:48:19.389923+00:00
50,s003,English,U.K.G,B,2021-02-01 09:48:34.964039+00:00
51,s003,English,1,A,2021-02-01 09:48:51.583739+00:00
52,s003,English,2,A,2021-02-01 09:49:03.175786+00:00
53,s003,English,3,A,2021-02-01 09:49:16.815678+00:00
54,s003,English,4,A,2021-02-01 09:49:28.203722+00:00
55,s003,English,5,A,2021-02-01 09:49:40.639830+00:00
56,s003,English,6,A,2021-02-01 09:49:54.863750+00:00
57,s003,English,7,A,2021-02-01 09:50:07.331730+00:00
58,s003,English,8,A,2021-02-01 09:50:24.166725+00:00
59,s003,English,9,A,2021-02-01 09:50:39.085728+00:00
60,s003,English,10,A,2021-02-01 09:50:49.883074+00:00
61,s003,Hindi,L.K.G,A,2021-02-01 09:51:09.744747+00:00
62,s003,Hindi,U.K.G,A,2021-02-01 09:51:20.693719+00:00
63,s003,Hindi,1,A,2021-02-01 09:51:31.388657+00:00
64,s003,Hindi,2,A,2021-02-01 09:51:42.548724+00:00
65,s003,Hindi,3,A,2021-02-01 09:51:54.203733+00:00
66,s003,Hindi,4,A,2021-02-01 09:52:06.163850+00:00
67,s003,Hindi,5,A,2021-02-01 09:52:17.050847+00:00
68,s003,English,1,B,2021-02-05 10:18:18.550490+00:00
69,demo1,English,L.K.G,A,2021-02-09 08:51:28.899743+00:00
70,s004,English,Nursery,A,2021-02-09 10:25:51.434614+00:00
71,s004,English,L.K.G,A,2021-02-09 10:26:06.820940+00:00
72,s004,Hindi,Nursery,A,2021-02-09 10:26:17.648064+00:00
73,s004,English,U.K.G,A,2021-02-09 10:26:40.971939+00:00
74,s004,English,1,A,2021-02-09 10:26:52.185448+00:00
75,s004,English,2,A,2021-02-09 10:27:09.029907+00:00
76,s004,English,1,B,2021-02-09 10:27:21.183634+00:00
77,s004,English,2,B,2021-02-09 10:27:41.327084+00:00
78,s004,English,3,A,2021-02-09 10:27:54.872941+00:00
79,s004,English,3,B,2021-02-09 10:28:09.683210+00:00
80,s004,English,4,A,2021-02-09 15:17:35.750590+00:00
81,s004,English,5,A,2021-02-09 15:18:05.504774+00:00
82,s004,English,6,A,2021-02-09 15:19:42.239152+00:00
84,soo5,English,L.K.G,A,2021-02-10 05:14:07.482464+00:00
85,s006,English,10,A,2021-02-10 06:14:48.551875+00:00
86,s007,English,1,A,2021-02-10 07:15:44.847518+00:00
87,s007,English,Nursery,A,2021-02-10 07:30:02.814969+00:00
88,m001,Hindi,Nursery,A,2021-02-11 05:02:36.728408+00:00
89,m001,English,10,A,2021-02-11 05:05:01.011060+00:00
90,n001,English,Nursery,A,2021-02-11 12:01:28.301577+00:00
91,n001,English,L.K.G,A,2021-02-11 12:01:55.395725+00:00
92,n001,English,U.K.G,A,2021-02-11 12:02:13.051794+00:00
93,n001,English,1,A,2021-02-11 12:02:32.224785+00:00
94,n001,English,1,B,2021-02-11 12:02:42.433157+00:00
95,n001,English,2,A,2021-02-11 12:02:54.683677+00:00
96,n001,English,2,B,2021-02-11 12:03:05.781528+00:00
97,n001,English,3,A,2021-02-11 12:03:20.635582+00:00
98,n001,English,3,B,2021-02-11 12:03:33.867875+00:00
99,n001,English,4,A,2021-02-11 12:04:04.896742+00:00
100,n001,English,4,B,2021-02-11 12:04:15.316939+00:00
101,n001,English,5,A,2021-02-11 12:04:34.487767+00:00
102,n001,English,6,A,2021-02-11 12:05:16.036701+00:00
103,n001,English,6,B,2021-02-11 12:05:26.226829+00:00
104,n001,English,7,A,2021-02-11 12:05:39.267268+00:00
105,n001,English,7,B,2021-02-11 12:05:52.159623+00:00
106,n001,English,8,A,2021-02-11 12:06:07.407783+00:00
107,n001,English,8,B,2021-02-11 12:06:18.769421+00:00
