group,user,id,name,content_type,codename
NA,NA,1,Can add log entry,admin | log entry,add_logentry
NA,NA,2,Can change log entry,admin | log entry,change_logentry
NA,NA,3,Can delete log entry,admin | log entry,delete_logentry
NA,NA,4,Can view log entry,admin | log entry,view_logentry
NA,NA,9,Can add group,auth | group,add_group
NA,NA,10,Can change group,auth | group,change_group
NA,NA,11,Can delete group,auth | group,delete_group
NA,NA,12,Can view group,auth | group,view_group
NA,NA,5,Can add permission,auth | permission,add_permission
NA,NA,6,Can change permission,auth | permission,change_permission
NA,NA,7,Can delete permission,auth | permission,delete_permission
NA,NA,8,Can view permission,auth | permission,view_permission
NA,NA,13,Can add user,auth | user,add_user
NA,NA,14,Can change user,auth | user,change_user
NA,NA,15,Can delete user,auth | user,delete_user
NA,NA,16,Can view user,auth | user,view_user
NA,NA,17,Can add content type,contenttypes | content type,add_contenttype
NA,NA,18,Can change content type,contenttypes | content type,change_contenttype
NA,NA,19,Can delete content type,contenttypes | content type,delete_contenttype
NA,NA,20,Can view content type,contenttypes | content type,view_contenttype
NA,NA,25,Can add attendance,school | attendance,add_attendance
NA,NA,26,Can change attendance,school | attendance,change_attendance
NA,NA,27,Can delete attendance,school | attendance,delete_attendance
NA,NA,28,Can view attendance,school | attendance,view_attendance
NA,NA,29,Can add attendance_api,school | attendance_api,add_attendance_api
NA,NA,30,Can change attendance_api,school | attendance_api,change_attendance_api
NA,NA,31,Can delete attendance_api,school | attendance_api,delete_attendance_api
NA,NA,32,Can view attendance_api,school | attendance_api,view_attendance_api
NA,NA,113,Can add bike_user,school | bike_user,add_bike_user
NA,NA,114,Can change bike_user,school | bike_user,change_bike_user
NA,NA,115,Can delete bike_user,school | bike_user,delete_bike_user
NA,NA,116,Can view bike_user,school | bike_user,view_bike_user
NA,NA,129,Can add bike_user_details,school | bike_user_details,add_bike_user_details
NA,NA,130,Can change bike_user_details,school | bike_user_details,change_bike_user_details
NA,NA,131,Can delete bike_user_details,school | bike_user_details,delete_bike_user_details
NA,NA,132,Can view bike_user_details,school | bike_user_details,view_bike_user_details
NA,NA,105,Can add bikeapi,school | bikeapi,add_bikeapi
NA,NA,106,Can change bikeapi,school | bikeapi,change_bikeapi
NA,NA,107,Can delete bikeapi,school | bikeapi,delete_bikeapi
NA,NA,108,Can view bikeapi,school | bikeapi,view_bikeapi
NA,NA,141,Can add busapi,school | busapi,add_busapi
NA,NA,142,Can change busapi,school | busapi,change_busapi
