id,imei_no,sim_no,log,lat,datetime
32563,hhhhh,111111,28.495573,77.305633,03-17-2021 09:13:32
32564,hhhhh,111111,28.495573,77.305632,03-17-2021 09:13:46
32565,hhhhh,111111,28.495570,77.305640,03-17-2021 09:14:12
32566,hhhhh,111111,28.495568,77.305642,03-17-2021 09:14:15
32567,hhhhh,111111,28.495563,77.305653,03-17-2021 09:14:30
32568,hhhhh,111111,28.495565,77.305653,03-17-2021 09:14:45
32569,hhhhh,111111,28.495565,77.305650,03-17-2021 09:15:00
32570,hhhhh,111111,28.495563,77.305647,03-17-2021 09:15:15
32571,hhhhh,111111,28.495562,77.305643,03-17-2021 09:15:30
32572,hhhhh,111111,28.495563,77.305643,03-17-2021 09:15:51
32573,hhhhh,111111,28.495580,77.305635,03-17-2021 09:17:01
32574,hhhhh,111111,28.495580,77.305633,03-17-2021 09:17:20
32575,hhhhh,111111,28.495577,77.305635,03-17-2021 09:17:46
32576,hhhhh,111111,28.495578,77.305632,03-17-2021 09:17:56
32577,hhhhh,111111,28.495580,77.305627,03-17-2021 09:18:08
32578,hhhhh,111111,28.495575,77.305623,03-17-2021 09:18:17
32579,hhhhh,111111,28.495572,77.305618,03-17-2021 09:18:38
32580,hhhhh,111111,28.495572,77.305625,03-17-2021 09:19:10
32581,hhhhh,111111,28.495565,77.305638,03-17-2021 09:19:18
32582,hhhhh,111111,28.495558,77.305655,03-17-2021 09:19:46
32583,hhhhh,111111,28.495553,77.305667,03-17-2021 09:19:49
32584,hhhhh,111111,28.495557,77.305668,03-17-2021 09:20:00
32585,hhhhh,111111,28.495553,77.305672,03-17-2021 09:20:15
32586,hhhhh,111111,28.495545,77.305677,03-17-2021 09:20:30
32587,hhhhh,111111,28.495550,77.305672,03-17-2021 09:20:45
32588,hhhhh,111111,28.495557,77.305667,03-17-2021 09:21:00
32589,hhhhh,111111,28.495562,77.305668,03-17-2021 09:21:15
32590,hhhhh,111111,28.495582,77.305652,03-17-2021 09:22:00
32591,hhhhh,111111,28.495585,77.305648,03-17-2021 09:22:15
32592,hhhhh,111111,28.495585,77.305640,03-17-2021 09:22:30
32593,hhhhh,111111,28.495585,77.305632,03-17-2021 09:22:45
32594,hhhhh,111111,28.495580,77.305647,03-17-2021 09:23:00
32595,hhhhh,111111,28.495578,77.305648,03-17-2021 09:23:15
32596,hhhhh,111111,28.495573,77.305657,03-17-2021 09:23:30
32597,hhhhh,111111,28.495570,77.305665,03-17-2021 09:23:45
32598,hhhhh,111111,28.495562,77.305675,03-17-2021 09:24:00
32599,hhhhh,111111,28.495557,77.305680,03-17-2021 09:24:15
32600,hhhhh,111111,28.495550,77.305688,03-17-2021 09:24:30
32601,hhhhh,111111,28.495550,77.305673,03-17-2021 09:24:45
32602,hhhhh,111111,28.495552,77.305660,03-17-2021 09:25:00
32603,hhhhh,111111,28.495550,77.305660,03-17-2021 09:25:15
32604,hhhhh,111111,28.495548,77.305660,03-17-2021 09:25:31
32605,hhhhh,111111,28.495550,77.305650,03-17-2021 09:25:45
32606,hhhhh,111111,28.495555,77.305640,03-17-2021 09:26:00
32607,hhhhh,111111,28.495555,77.305650,03-17-2021 09:26:15
32608,hhhhh,111111,28.495553,77.305663,03-17-2021 09:26:30
32609,hhhhh,111111,28.495555,77.305663,03-17-2021 09:26:45
32610,hhhhh,111111,28.495560,77.305658,03-17-2021 09:27:00
32611,hhhhh,111111,28.495562,77.305655,03-17-2021 09:27:15
32612,hhhhh,111111,28.495563,77.305655,03-17-2021 09:27:30
32613,hhhhh,111111,28.495563,77.305658,03-17-2021 09:27:45
32614,hhhhh,111111,28.495562,77.305650,03-17-2021 09:28:00
32615,hhhhh,111111,28.495560,77.305648,03-17-2021 09:28:15
32616,hhhhh,111111,28.495558,77.305662,03-17-2021 09:28:30
